459038.21875	6391217.5
459038.5625	6391249
459038.84375	6391281
459039.1875	6391312.5
459039.53125	6391344
458927.75	6391349
458927.75	6391349
458778.15625	6391359.5
458628.78125	6391372.5
458479.40625	6391386
458329.84375	6391396.5
458180.15625	6391405
458030.25	6391408
457880.28125	6391408
457730.46875	6391402.5
457580.6875	6391395.5
457431.1875	6391383.5
457281.9375	6391369
457133.78125	6391346.5
456987.21875	6391315.5
456849.875	6391256.5
456717.09375	6391187
456593.96875	6391101.5
456471.6875	6391015
456341.84375	6390940
456209	6390870.5
456070.09375	6390814.5
455926.875	6390771.5
455777.5625	6390767.5
455628.0625	6390777.5
455479.40625	6390797
455331.25	6390820
455183.65625	6390846.5
455037.5625	6390880
454892.8125	6390919
454752.5	6390971.5
454615.71875	6391033
454490.375	6391115
454369.6875	6391204
454265.84375	6391312
454167.75	6391425
454078.84375	6391546
453986.625	6391664
453877.96875	6391767.5
453754.59375	6391851.5
453620.5625	6391919
453477.28125	6391957.5
453327.5625	6391949.5
453178.15625	6391938.5
453041	6391884
452918.25	6391799
452816.6875	6391688.5
452717.8125	6391576
452624.5625	6391459
452545.5	6391331.5
452476	6391199
452407.96875	6391065
452338.34375	6390932.5
452255.625	6390807.5
452151.59375	6390700
452014.75	6390646
451866.9375	6390660.5
451732.78125	6390725
451616.4375	6390819.5
451532.5	6390943
451470.125	6391079
451408.03125	6391215.5
451336.5625	6391347.5
451245.75	6391466
451129.9375	6391560.5
450984.46875	6391584
450857.53125	6391520
450783.21875	6391391
450758.65625	6391244.5
450732.125	6391097.5
450674.3125	6390959
450603.9375	6390827
450507.28125	6390713
450396.46875	6390612.5
450267.625	6390536.5
450137.40625	6390462
450007.125	6390388
449871.75	6390323.5
449735.46875	6390261
449597.5625	6390202
449455.6875	6390154.5
449309.0625	6390123.5
449159.75	6390115.5
449012.25	6390138.5
448868.5	6390181
448726.71875	6390229.5
448592.9375	6390296.5
448460.09375	6390366
448325.5625	6390432.5
448187.34375	6390490.5
448046.9375	6390543
447900.53125	6390574
447751.03125	6390585
447601.21875	6390581
447452.34375	6390563.5
447304.46875	6390539
447160.5625	6390497.5
447028.15625	6390427.5
446888.8125	6390373
446741.21875	6390348
446592	6390333
446442.1875	6390327.5
446293.03125	6390337.5
446145.28125	6390363
445997.96875	6390391
445850.21875	6390417
445701.6875	6390437
445552.21875	6390448.5
445402.78125	6390461
445253.25	6390454
445105.03125	6390431
444959.15625	6390396.5
444816.875	6390349.5
444681.65625	6390285
444545.1875	6390222.5
444407.90625	6390162.5
444268.28125	6390107.5
444142	6390027
444010.1875	6389955.5
443873.3125	6389895.5
443727.78125	6389860
443583.125	6389820.5
443435.53125	6389795
443285.96875	6389785.5
443136.46875	6389775
442987.5	6389760.5
442840.9375	6389728.5
442694.84375	6389695
442549.8125	6389657
442403.75	6389623.5
442254.6875	6389617.5
442117.15625	6389677
441986.28125	6389749.5
441871	6389845.5
441764.0625	6389950.5
441675.96875	6390071.5
